,Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Date
1,United States,Alameda,1,0,0,0,03-01-2020
2,United States,Alameda,1,0,0,0,03-02-2020
3,United States,Alameda,2,0,0,0,03-03-2020
4,United States,Alameda,2,0,0,0,03-04-2020
5,United States,Alameda,2,0,0,0,03-05-2020
6,United States,Alameda,3,0,0,0,03-06-2020
7,United States,Alameda,3,0,0,0,03-07-2020
8,United States,Alameda,3,0,0,0,03-08-2020
9,United States,Alameda,3,0,0,0,03-09-2020
10,United States,Alameda,5,0,0,0,03-10-2020
11,United States,Alameda,5,0,0,0,03-11-2020
12,United States,Alameda,9,0,0,0,03-12-2020
13,United States,Alameda,9,0,0,0,03-13-2020
14,United States,Alameda,10,0,0,0,03-14-2020
15,United States,Alameda,18,0,0,0,03-15-2020
16,United States,Alameda,18,0,0,0,03-16-2020
17,United States,Alameda,30,0,0,0,03-17-2020
18,United States,Alameda,34,0,0,0,03-18-2020
19,United States,Alameda,38,0,0,0,03-19-2020
20,United States,Alameda,48,0,0,0,03-20-2020
21,United States,Alameda,68,0,0,0,03-21-2020
22,United States,Alameda,106,0,0,0,03-22-2020
23,United States,Alameda,122,0,0,0,03-23-2020
24,United States,Alameda,135,0,0,0,03-24-2020
25,United States,Alameda,135,0,0,0,03-25-2020
26,United States,Alameda,178,0,0,0,03-26-2020
1,United States,Contra Costa,1,0,0,0,03-03-2020
2,United States,Contra Costa,1,0,0,0,03-04-2020
3,United States,Contra Costa,1,0,0,0,03-05-2020
4,United States,Contra Costa,4,0,0,0,03-06-2020
5,United States,Contra Costa,4,0,0,0,03-07-2020
6,United States,Contra Costa,9,0,0,0,03-08-2020
7,United States,Contra Costa,10,0,0,0,03-09-2020
8,United States,Contra Costa,10,0,0,0,03-10-2020
9,United States,Contra Costa,13,0,0,0,03-11-2020
10,United States,Contra Costa,17,0,0,0,03-12-2020
11,United States,Contra Costa,25,0,0,0,03-13-2020
12,United States,Contra Costa,29,0,0,0,03-14-2020
13,United States,Contra Costa,29,0,0,0,03-15-2020
14,United States,Contra Costa,34,0,0,0,03-16-2020
15,United States,Contra Costa,38,0,0,0,03-17-2020
16,United States,Contra Costa,41,0,0,0,03-18-2020
17,United States,Contra Costa,42,0,0,0,03-19-2020
18,United States,Contra Costa,46,0,0,0,03-20-2020
19,United States,Contra Costa,51,0,0,0,03-21-2020
20,United States,Contra Costa,61,0,0,0,03-22-2020
21,United States,Contra Costa,71,0,0,0,03-23-2020
22,United States,Contra Costa,86,0,0,0,03-24-2020
23,United States,Contra Costa,108,0,0,0,03-25-2020
24,United States,Contra Costa,131,0,0,0,03-26-2020
1,United States,Marin,1,0,0,0,03-09-2020
2,United States,Marin,1,0,0,0,03-10-2020
3,United States,Marin,3,0,0,0,03-11-2020
4,United States,Marin,3,0,0,0,03-12-2020
5,United States,Marin,3,0,0,0,03-13-2020
6,United States,Marin,5,0,0,0,03-14-2020
7,United States,Marin,9,0,0,0,03-15-2020
8,United States,Marin,11,0,0,0,03-16-2020
9,United States,Marin,11,0,0,0,03-17-2020
10,United States,Marin,15,0,0,0,03-18-2020
11,United States,Marin,25,0,0,0,03-19-2020
12,United States,Marin,38,0,0,0,03-20-2020
13,United States,Marin,38,0,0,0,03-21-2020
14,United States,Marin,38,0,0,0,03-22-2020
15,United States,Marin,47,0,0,0,03-23-2020
16,United States,Marin,53,0,0,0,03-24-2020
17,United States,Marin,60,0,0,0,03-25-2020
18,United States,Marin,65,0,0,0,03-26-2020
1,United States,Napa,2,0,0,0,03-22-2020
2,United States,Napa,2,0,0,0,03-23-2020
3,United States,Napa,3,0,0,0,03-24-2020
4,United States,Napa,3,0,0,0,03-25-2020
5,United States,Napa,6,0,0,0,03-26-2020
1,United States,San Francisco,2,0,0,0,03-05-2020
2,United States,San Francisco,2,0,0,0,03-06-2020
