Date,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma
1/30/20,0,0,0,0,0,0,0,0,0
1/31/20,0,0,0,0,0,0,1,1,1
2/1/20,0,0,0,0,0,0,1,1,1
2/2/20,0,0,0,0,0,0,2,1,1
2/3/20,0,0,0,0,0,0,2,1,1
2/4/20,0,0,0,0,0,0,2,1,1
2/5/20,0,0,0,0,0,0,2,1,1
2/6/20,0,0,0,0,0,0,2,1,1
2/7/20,0,0,0,0,0,0,2,1,1
2/8/20,0,0,0,0,0,0,2,1,1
2/9/20,0,0,0,0,0,0,2,1,1
2/10/20,0,0,0,0,0,0,2,1,1
2/11/20,0,0,0,0,0,0,2,1,1
2/12/20,0,0,0,0,0,0,2,1,1
2/13/20,0,0,0,0,0,0,2,1,1
2/14/20,0,0,0,0,0,0,2,1,1
2/15/20,0,0,0,0,0,0,2,1,1
2/16/20,0,0,0,0,0,0,2,1,1
2/17/20,0,0,0,0,0,0,2,1,1
2/18/20,0,0,0,0,0,0,2,1,1
2/19/20,0,0,0,0,0,0,2,1,1
2/20/20,0,0,0,0,0,0,2,1,1
2/21/20,0,0,0,0,0,0,2,1,1
2/22/20,0,0,0,0,0,0,2,1,1
2/23/20,0,0,0,0,0,0,2,1,1
2/24/20,0,0,0,0,0,0,2,1,1
2/25/20,0,0,0,0,0,0,2,1,1
2/26/20,0,0,0,0,0,0,2,1,1
2/27/20,0,0,0,0,0,0,2,1,1
2/28/20,0,0,0,0,0,0,3,2,1
2/29/20,0,0,0,0,0,0,4,2,1
3/1/20,1,0,0,0,0,0,7,2,1
3/2/20,1,0,0,0,0,0,9,2,1
3/3/20,2,1,0,0,0,1,11,2,1
3/4/20,2,1,0,0,0,1,14,2,2
3/5/20,2,1,0,0,2,1,20,2,2
3/6/20,3,4,0,0,2,1,24,2,2
3/7/20,3,4,0,0,8,1,32,2,2
3/8/20,3,9,0,0,8,1,37,3,2
3/9/20,3,10,1,0,13,8,43,3,2
3/10/20,5,10,1,0,17,8,45,3,2
3/11/20,5,13,3,0,17,14,48,6,2
3/12/20,9,17,3,0,21,20,66,6,2
3/13/20,9,25,3,0,26,20,79,6,3
3/14/20,10,29,5,0,31,32,91,6,4
3/15/20,18,29,9,0,40,32,114,7,4
3/16/20,18,34,11,0,43,41,138,8,7
3/17/20,30,38,11,0,43,64,155,8,9
3/18/20,34,41,15,0,51,80,175,8,9
3/19/20,38,42,25,0,70,89,189,10,11
3/20/20,48,46,38,0,76,100,196,13,22
3/21/20,68,51,38,0,84,110,263,14,24
3/22/20,106,61,38,2,108,117,302,14,24
3/23/20,122,71,47,2,131,142,321,21,29
3/24/20,135,86,53,3,152,161,375,24,34
3/25/20,135,108,60,3,178,165,459,31,37
3/26/20,178,131,65,6,223,195,542,31,44
3/27/20,220,151,69,8,279,239,574,34,50
3/28/20,256,168,74,10,308,274,591,34,50
3/29/20,270,175,74,10,340,277,646,34,58
3/30/20,283,187,98,14,374,309,848,43,73
3/31/20,313,222,98,16,397,309,890,49,78
4/1/20,396,250,108,18,450,453,956,54,91
4/2/20,396,276,118,18,450,453,1019,61,95
